"charge"	"convexhull_xCoor"	"convexhull_yCoor"	"id"	"intensity"	"overallquality"	"position_dim0"	"position_dim1"	"quality_dim0"	"quality_dim1"	"spectrum_index"	"spectrum_native_id"
3	3336.43	667.62	"f_7936733956214261295"	475891	165240	3341.61	667.7	0	0	2371	12801
3	3339.73	667.6	"f_7936733956214261295"	475891	165240	3341.61	667.7	0	0	2371	12801
3	3341.24	667.62	"f_7936733956214261295"	475891	165240	3341.61	667.7	0	0	2371	12801
3	3342.39	667.64	"f_7936733956214261295"	475891	165240	3341.61	667.7	0	0	2371	12801
3	3344.19	667.62	"f_7936733956214261295"	475891	165240	3341.61	667.7	0	0	2371	12801
3	3345.7	667.62	"f_7936733956214261295"	475891	165240	3341.61	667.7	0	0	2371	12801
3	3345.7	669.71	"f_7936733956214261295"	475891	165240	3341.61	667.7	0	0	2371	12801
3	3344.19	669.7	"f_7936733956214261295"	475891	165240	3341.61	667.7	0	0	2371	12801
3	3342.39	669.72	"f_7936733956214261295"	475891	165240	3341.61	667.7	0	0	2371	12801
3	3341.24	669.7	"f_7936733956214261295"	475891	165240	3341.61	667.7	0	0	2371	12801
3	3339.73	669.69	"f_7936733956214261295"	475891	165240	3341.61	667.7	0	0	2371	12801
3	3336.43	669.7	"f_7936733956214261295"	475891	165240	3341.61	667.7	0	0	2371	12801
2	3797.14	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3799.41	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3800.93	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3802.75	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3805.95	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3806.91	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3808.4	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3810.19	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3811.25	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3812.18	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
