total ion current	scan time	filter string	id	base peak intensity	ms level	charge state	charge	mz
1573353.0	1.13439833333	FTMS + p NSI Full ms [335.00-1800.00]	71	169278.109375	1.0	N/A	N/A	N/A
1483365.25	1.15047333333	FTMS + p NSI Full ms [335.00-1800.00]	72	118162.09375	1.0	N/A	N/A	N/A
1990778.375	1.16666833333	FTMS + p NSI Full ms [335.00-1800.00]	73	229325.671875	1.0	N/A	N/A	N/A
1743207.625	1.182045	FTMS + p NSI Full ms [335.00-1800.00]	74	205988.921875	1.0	N/A	N/A	N/A
1591744.375	1.198115	FTMS + p NSI Full ms [335.00-1800.00]	75	200485.9375	1.0	N/A	N/A	N/A
1461761.75	1.21419333333	FTMS + p NSI Full ms [335.00-1800.00]	76	182237.703125	1.0	N/A	N/A	N/A
1506140.5	1.230585	FTMS + p NSI Full ms [335.00-1800.00]	77	173133.3125	1.0	N/A	N/A	N/A
1645180.75	1.24710833333	FTMS + p NSI Full ms [335.00-1800.00]	78	174653.078125	1.0	N/A	N/A	N/A
1563131.125	1.26321833333	FTMS + p NSI Full ms [335.00-1800.00]	79	159692.765625	1.0	N/A	N/A	N/A
1727922.25	1.27942	FTMS + p NSI Full ms [335.00-1800.00]	80	188879.859375	1.0	N/A	N/A	N/A
1742823.0	1.29547333333	FTMS + p NSI Full ms [335.00-1800.00]	81	190631.6875	1.0	N/A	N/A	N/A
1509315.0	1.31111333333	FTMS + p NSI Full ms [335.00-1800.00]	82	172712.984375	1.0	N/A	N/A	N/A
1635347.0	1.32750833333	FTMS + p NSI Full ms [335.00-1800.00]	83	191976.265625	1.0	N/A	N/A	N/A
1694464.5	1.34358166667	FTMS + p NSI Full ms [335.00-1800.00]	84	196420.421875	1.0	N/A	N/A	N/A
1493813.75	1.35943333333	FTMS + p NSI Full ms [335.00-1800.00]	85	147985.46875	1.0	N/A	N/A	N/A
1833008.25	1.37566333333	FTMS + p NSI Full ms [335.00-1800.00]	86	186909.046875	1.0	N/A	N/A	N/A
1660178.5	1.39143166667	FTMS + p NSI Full ms [335.00-1800.00]	87	176061.46875	1.0	N/A	N/A	N/A
1651757.25	1.40742833333	FTMS + p NSI Full ms [335.00-1800.00]	88	193379.890625	1.0	N/A	N/A	N/A
1836058.875	1.423655	FTMS + p NSI Full ms [335.00-1800.00]	89	209618.046875	1.0	N/A	N/A	N/A
1644101.625	1.43971	FTMS + p NSI Full ms [335.00-1800.00]	90	155110.265625	1.0	N/A	N/A	N/A
1803815.875	1.45597333333	FTMS + p NSI Full ms [335.00-1800.00]	91	198299.515625	1.0	N/A	N/A	N/A
1882824.0	1.47225166667	FTMS + p NSI Full ms [335.00-1800.00]	92	212012.6875	1.0	N/A	N/A	N/A
1890530.0	1.48841166667	FTMS + p NSI Full ms [335.00-1800.00]	93	209274.4375	1.0	N/A	N/A	N/A
1607672.5	1.50432	FTMS + p NSI Full ms [335.00-1800.00]	94	161768.609375	1.0	N/A	N/A	N/A
1604058.875	1.52072833333	FTMS + p NSI Full ms [335.00-1800.00]	95	160544.578125	1.0	N/A	N/A	N/A
1689256.625	1.53692666667	FTMS + p NSI Full ms [335.00-1800.00]	96	158274.203125	1.0	N/A	N/A	N/A
1652418.25	1.552905	FTMS + p NSI Full ms [335.00-1800.00]	97	165280.0	1.0	N/A	N/A	N/A
1749532.75	1.56894166667	FTMS + p NSI Full ms [335.00-1800.00]	98	206285.234375	1.0	N/A	N/A	N/A
1694623.0	1.585	FTMS + p NSI Full ms [335.00-1800.00]	99	199695.15625	1.0	N/A	N/A	N/A
1612857.375	1.60123166667	FTMS + p NSI Full ms [335.00-1800.00]	100	148781.8125	1.0	N/A	N/A	N/A
1453724.0	1.61704833333	FTMS + p NSI Full ms [335.00-1800.00]	101	154940.5	1.0	N/A	N/A	N/A
1695.34729004	1.63330333333	ITMS + c NSI d Full ms2 421.76@cid35.00 [105.00-855.00]	102	332.563415527	2.0	2.0	2	421.75909423828125
1522505.125	1.63745666667	FTMS + p NSI Full ms [335.00-1800.00]	103	127359.46875	1.0	N/A	N/A	N/A
1547665.5	1.64979166667	FTMS + p NSI Full ms [335.00-1800.00]	104	168993.296875	1.0	N/A	N/A	N/A
1575105.375	1.66608	FTMS + p NSI Full ms [335.00-1800.00]	105	159048.96875	1.0	N/A	N/A	N/A
1626243.375	1.68217333333	FTMS + p NSI Full ms [335.00-1800.00]	106	191028.34375	1.0	N/A	N/A	N/A
1577236.5	1.698635	FTMS + p NSI Full ms [335.00-1800.00]	107	172862.3125	1.0	N/A	N/A	N/A
1866558.875	1.714615	FTMS + p NSI Full ms [335.00-1800.00]	108	228405.296875	1.0	N/A	N/A	N/A
1628887.875	1.73054666667	FTMS + p NSI Full ms [335.00-1800.00]	109	166900.46875	1.0	N/A	N/A	N/A
1597412.0	1.746215	FTMS + p NSI Full ms [335.00-1800.00]	110	180468.53125	1.0	N/A	N/A	N/A
1774913.75	1.76248166667	FTMS + p NSI Full ms [335.00-1800.00]	111	211409.546875	1.0	N/A	N/A	N/A
2057441.75	1.77865166667	FTMS + p NSI Full ms [335.00-1800.00]	112	254051.25	1.0	N/A	N/A	N/A
